Comment ID,Video 0,Video 1,Video 2,Video 3,Video 4,Video 5,Video 6,Video 7,Video 8,Video 9,Video 10,Video 11,Video 12,Video 13,Video 14,Video 15,Video 16,Video 17,Video 18,Video 19
0,amazing car love the interior design,,<BX> i shift with the first single clutc in indonesia is at the adro job site in indonesia but ha not used crawler gear yet after being given input now i shift is now using crawler gear for <BX> product in our country indonesia especially for mining truck,c est toujours un r el plaisir de voir un moteur <BX> en plein d pannage,how much would that inframe cost for that same engine just wondering,okkkk okkk you are amateur driver,inje o moderna,why you quit diesel enginesr <BX>,,awesome video,will the vnl 860 pull 50000lbs,dear santa,hello guy am new on the cdl business am about to buy a 2018 <BX> vnl 780 with 470k for 78k is this a good deal if yes what s need to be done or what to expect from this deal thanks,,veryi nice,mazda is bringing a rotary range extender to market in 2022 and will even sell them to toyota the rotary is not dead it s an excellent choice for a range extender,<BX> truck launch the new <BX> fh next generation of truck designed with the driver in mind featuring a re imagined cab innovative safety feature and a driver focused working environment a key aim of the new design is to give the driver a more productive safe and comfortable life on the road driver focus help attract skilled professional the emphasis on driver is based on the significan not impact they have on a haulier s result in term of productivity efficiency and customer service interior give driver superior working environment the attention given to driver is most obvious in the updated interior working environment their workspace is centered around a modernized dashboard which feature a fully digital 12 inch high resolution instrument display and includes a fixed cup holder and an open storage space with motion sensor controlled lighting the instrument display allows the driver to choose between four different screen view depending on the driving situation and the information they prefer to have displayed an optional 9 inch side display can provide infotainment navigation assistance transport information and camera monitoring the display that is easy to reach allows the driver to interact in numerous way with the intuitively positioned button on the steering wheel through voice control or directly via the touchscreen and display control panel sophisticated design and smart technology the bold new look of the exterior is characterized by the signature v shaped headlight which have now been moved outwards to align with the feature line of the cab door the turn indicator have also been moved to the door giving the truck both improved aerodynamics and a more confident look the wiper panel is cleaner and slimmer while a bigger iron mark make the new <BX> fh easily recognizable even from a distance industry first safety feature adaptive high beam headlight the new <BX> fh is the world s first heavy duty truck with adaptive high beam headlight the system improves safety for all road user by automatically disabling selected segment of the led high beam when the truck approach oncoming traffic or another vehicle from behind the high beam is adjusted when the camera and radar detect other vehicle or when the camera detects change in the amount of light around the truck improved fuel efficiency and productivity using various driveline and chassis configuration the new <BX> fh can be tailored to suit a wide range of application and enable significan not fuel and co2savings in long haul operation for instance the new <BX> fh with i save for euro 6 combine the new <M2>tc engine with a package of feature and can deliver fuel saving up to 7percent there have also been improvement for the euro 3 and 5 version with feature like <BX> torque assist new service contract help customer improve their cash flow the rapid development of connected service give haulier completely new way of increasing vehicle uptime and optimizing vehicle utilization fact about the new <BX> fh cab low sleeper cab sleeper cab globetrotter cab globetrotter xl and globetrotter xxl exterior and interior trim package for individual design engine diesel engine are available with different emission standard <BX> fh is also available with euro 6 step d compliant gas powered lng engine in selected market <BX> fh with i save for euro 6 is available in selected market gear changing system i shift i shift dual clutch with software package for different area of application the fuel improvement claim is calculated by comparing cost of diesel and adblue for <M2>tc euro 6 step d with the long haul fuel package i save to <M2> escr euro 6 step d without the long haul fuel package actual fuel economy may vary depending on many factor such a the driver s experience use of cruise control vehicle specification vehicle load actual topography vehicle maintenance and weather condition <BX> <BX>trucks <BX>fh new newtruck subscribe new car video google youtube facebook instagram website twitter snapchat alphasquad 1 submit your video alphasquad pr gmail com,i am high somehow i landed here help,i want to learn more,i bought my first brand new semi truck wa a <BX> 780 2014 at only 22 mile driving out of the lot check engine light always broke down at 240k mile it got tow to vega <BX> it broke again 400k milea then again at 520k and last at 610k all from the same problem injector and dpf personal opinion <BX> the most comfortable truck just like an rv if you only run 68 mph or le reliability 000000000 everything else also fail at one point or an other would i buy it again no never i own a kenworth t680 2019 also bought it brand new x15 525 hp with 8 mile and now at 305 540 mile no breakdown it truly is the world s best
1,great info,tuve i unload at the dsv terminal every day right beside the <BX> plant,what is the weight of the engine,the oil seperator will leak it design is flawd xd,there s noway in hell i would fix that truck i would just buy other one i woke up one morning it wa not there,i have 2020 year <BX> and fuel filter is on passenger side,,7465819611,please <BX> common rail fuel system name,how to set the ijection pump,i want a knee busting heavy clutch manual gearbox truck from an era when environment wa no issue,make me wan na sell my <BX> xc for a fh,i have a d16 sometimes when i go up or down a mountain my oil light come on the oil is full and i have replaced the sensor in the pan twice and the temp sensor and it still cut off but crank right up and go sometimes the def light come on but go right off i replaced the filter 6 month ago it wa 2700 plus labor i do not know what else it could be,,not sound but symphony like from kyrgyzstan,<BX>oooooo,i do not know if anyone care but in le than 15 minute i hacked my girlfriend instagram password using instapwn can not link here so search for it on google if you wan na try it,i still do not understand american truck design the flat face truck are so much better,,good
2,,why is building <BX> truck in 5 day video is 4 minute long,,love how old driver s talk shit about this motor then i come across them with my 2020 <BX> <M2> and walk down there garbage cat motor up a hill at 40k plus in the box and to add to there embarrassment did it with ishift 12 speed with a 12 8 liter motor the look on there face in there peterbilt s and kenworth s is priceless and what make it worse is my engine is not even broke in yet,finally a video on these engine and the tech is not an idiot i am a master on both <BX> and mack got ta say the mack are a hell of alot more reliable i think in the last 5 year ive seen one with a broken valve since then i have seen a shit load of <BX>s with broken valve it all down to the programming,i have a question is there any difference between a car engine and an electric engine is the engine suitable for the electric engine to be connected to the electrical device that creates generate i wait answer,,is better fuel economy possible in near future,love my 2013 <M2> with i shift,necesito saber donde marca el tiempo en la bomba de inyecci n td100kb,i have i shift 2015 <BX> a lot a problem to fix cost a lot money manual transmission it s the best,<BX> tuck,wtf which truck is best in his eye name it who do not have so many problem,,pliz reglage soupape,will the connection keep the turbo spooled at idle or when the truck is coasting,que camion bonito ovio e <BX>,american nosed truck are somewhat safer since it ha almost 2 meter or six foot of space before your face also in american nosed truck driver can rest in the cabin while their truck are being serviced,we are inherited from my father and my brother and i have <BX> truck and now i own a <BX> fh d 13 520 hp model 2007 and i am a <BX> fan actros truck refused because my country jordan doe not buy anything but mercedes and we blame an agent and i am a promoter of <BX> and i convinced many people near and far and my phone number watt 00962772945580 darling <BX> khadr al taamari and my dream ride in a <BX> fh16 750 hp i wish <BX>,
3,,<BX> e scania s o o m ximo o doi suecos muito bons,<BX> truck engine euro7 engine,if you decide to keep it past warranty just let everyone know how the repair bill are,bruce evert not that i know of no but if you keep up on your overhead and have them done by someone that s really know what they are doing they can catch this before it happens,my 2014 <M2> still running with 960 k mile no complaint it paying my bill good working truck,,what a strange engine,,melhor motor j fabricado hoje s tem lixo eletronico,guy say dear santa i want this a a christmas gift no other thing pls remove that blonde girl i want earlier,,doe anyone know if there is a company or even a template i can buy to block the egr hot pipe with,you should make a video how the egr and aftertreatment work with your new <M2>tc information based on fact to educate the mass not bit of manipulative information for a marketing pitch,sweet work,excelente video,did not you find another man to star in the promotional film look at the beard like a horse thief,i drive a vnr 640 with i shift and have gotten stuck in situation where i would not have if i had a manual doe the new ishift with the 2 extra gear do better in sand interested in taking one for a drive,,i own 2001 <BX> d12 curent 1 85 mil mile im owner for 8 year 1 05 mil when i bought it i change oil myself all the time with mobile delvac and oem <BX> filter oil change time 1 hour max time engine never touched while owning in 8 year and very happy with <BX> engine
4,,fantastic engineering,<BX> truck manufacturer no v8 truck engine,well guess <BX> can kiss goodbye to truck sale in australia with this eyesore one day maybe you will work out that all this technology and emission shit make for one hell of an unreliable truck good luck <BX>,can they be reprogrammed to prevent this,hajde nejedi govna,vacina no bando da ma onaria,130 degree is not possible in real life in vehicle,we are inherited from my father and my brother and i have <BX> truck and now i own a <BX> fh d 13 520 hp model 2007 and i am a <BX> fan actros truck refused because my country jordan doe not buy anything but mercedes and we blame an agent and i am a promoter of <BX> and i convinced many people near and far and my phone number watt 00962772945580 darling <BX> khadr al taamari and my dream ride in a <BX> fh16 750 hp i wish <BX>,there are few type of this engine truck and bus only air compressor and housing steering wheel pump and starter housing are different in basic that is old good <BX>,driving i shift from 2009 european and u truck there is not better automatic transmission on the market,good,in the injector seal kit there s the thick purple one at the top and there s a thinner purple one use it on the bottom ring of the injector and that fix your hard start problem a lot of <M2> thing i have noticed have a bleed down issue with their injector and they get air in the system you can change the check valve you can change everything on there and still have a hard start a lot of them can be fixed by running a double seal i need injector itself not always but most of the time that will fix your problem,,salut un num r de contact pentru informati,0 40 0 14 0 54,i wish cabover truck were still offered in the north american market,<BX> best,we need high torque engine made of 33percent kevlar,that s impressive do you know if the engine wa rebuilt before you bought it and what s your oil change interval
5,,many thanks,i shift d c the best,no thanks i will stick with my 16 pre 1990 t600 s with 3406b cat,do you trucker think these <M2>s are better than a cummins engine,cummins lt packard lt dd15 lt <M2> <BX> is best and cummins must die after 7yr experience,jayanta da,why not just use a spark plug xd,love,this engine horizontally mounted wa also used in the <BX> b10m bus chassis,tesla semi is the future,yo what s the song called,hey adam have a <M2> vn and during a forced regen the exhaust temp reach anywhere from 950 to just over 1000 degree then it stop and temp come down to around 450 then go back to regen also it seems there is a lot of fuel coming at the connection at the bellow have any idea no code are coming up thanks,a <BX> deveria construir um novo bloco de motor mais desenvolvido avan ado al m de um caminh o moderno e bonito o fh merece um novo bloco de motor muito mais avan ado,bravo ten kyo,01 14 0 55 0 49,give it 10 year driver will not be needed,it look gay,glad this is more fuel efficient i will say the new cummins motor in freightliner is pretty good too,how often you change oil
6,,<BX> swedish v8 truck,best truck in the world <BX>,,yea more labor to do a head replacement the way you are doing it,let s see in a long run who stay in the top <BX> and detroit engine for now keep the crown in the top 3 with cummins at the third place thanks for share your opinion,common rail system iso mi jobi,shobendran gopala krishnan scania doe,i loved driving <BX> before i bought one they put bad quality part on this expensive truck that is breaking all the time also the air leak are so annoying i have to fix few air leak a month sensor going out and half of time no check engine light i bought my <BX> brand new in 2015 now i have 800k mile on it if i did not learn how to fix many thing by my self i would be out of business also in our company 4 truck with <M2> engine did a overhaul before 600k mile,edintruder 915 kg lastauto omnibus 12 1978,<BX> is seriously lacking video on this engine and the new exceed package,<BX> truck here in philippine is very rare like 1 in 100 most common is surplus japanese truck just sharing here,basically junk,and the electric truck,good work sir,no scania ha since 1989 on ds11 0 litler engine,american <BX> s suck lol,how,very good work <BX> like always,i wa hoping for some information on how the filtration system work why not just one large filter do they all have different us
7,,her y n yle olduk a g zel ancak eki olarak bir scania ile yar am yor acilen v8 bir motor retimi yapman z gerekiyor,it s mercedes,,nick purcella i am not flat rate so i could care le how long it take i still get paid the same,i got 1200000 mile on my <M2> <BX> automated and still running strong do your oil change on time and they will run forever,crdi i like it,this is not gasoline powered engine a diesel engine utilizes compression of the fuel mixture to ignite,your company might need to revise the type of oil they are using,tirowiec440 wszystko wyja nione jest w opisie volva serii 88 f g i n mia y silnik d100a b 165 200 km din oraz td100a 260km din,shut up bitch,thanks now i need a <BX> fh16,hey man wish you were in cali i can not find a good shop and do not want to go to stealer i would rather invest in a small shop to help me anyways man 2015 vnl 780 <M2> ishift with 599 952 lol 1 i have a tick that started and i can not find it i think it may be a lifter can you give me any other suspect you have encountered 2 got a check engine for crank case pressure the red stop triangle came up several time and i just had to shut off the truck and it would start right back up fine after watching your video i change the sensor and it did not fix it the oil separator filter is not leaking and i can hear it spin i have to have the sensor disconnected otherwise i can not drive the truck this may have triggered an 02 sensor that i have now i can not clear code with the dash diagnostics but i can with my lil obdii scsnner but the code come back after i restart the truck i need help please,one more tesla lover,,not a new idea at all google napier nomad,i want to be a truck driver please hire me someone,at least it s do it s job lol,,took me 13 hour too change starte on <BX> d12 1999 all because of one screw i would like too talk too designer engineer
8,,having worked in a car factory i will tell you what <BX> sure ha a clean and spotless production line,pilej gib mi electikal enfomeson,,polarisboy67 i guess it more money out of the customer pocket an into yours,let s talk diesel it s good that you tell u that the oil filter are all the same on this engine it wa a pain having to get a bypass filter and two ordinary filter now they are all the same it is le confusing thanks,,diesel blue power engine i have ruin a diesel engine by mixing diesel with gasoline but it turn the engine in high revolution can not deny the torque power of diesel and the low emission of lpg it s a great catalyst,changed all 6 injection fuel economy did not go back up stuck at 6 0mpg i use to have 7 3mpg not anymore also my bos that i work with he ha 14 <BX> <M2> truck after around 400k mile fuel economy drop down no check engine light power seems the same truck idle great turbo boost is good many driver told me to change injection and <BX> dealer said something so i did and guess what nothing happened i like <BX> but when i had any problem with them it hard to find the real problem you will end up spending 10k and mind not find the problem in the end this happened personally to me 2 time spent lot of money on def then just decided to delete it then now i got this fuel problem that dropped to 6 0 and i spent so much money on it with zero result,pi kny motor czy to nie jest przypadkiem z <BX> f88,if you have to remember what gear your in your not a trucker your a steering wheel holder you should be able to not even look for the shifter and once you put your hand on it you should know what gear your in if you do not then i would say steering wheel holder yes i have driven on older <BX> 2011 2012 with i shift and it did not fuck around and stayed in the correct gear even while using jakes it is a good transmission but in my book if you can not shift a manual transmission you are a steering wheel holder one last thing the reason for mega carrier for getting automatic transmission and not manual especially the company that train are not for cost maintenance it to screw the new driver over and make it very hard to leave because they will have an automatic only licence,this may be a stupid question but do professional truck driver own their own truck or not,i have a 2006 d16 my engine break is not working i tried the clutch lift to see if that wa the issue but it ai not i watched a video about oil sensor temp that could cause the issue could you please give me a tip a to what the problem may be thank you,<BX> v8,,we are inherited from my father and my brother and i have <BX> truck and now i own a <BX> fh d 13 520 hp model 2007 and i am a <BX> fan actros truck refused because my country jordan doe not buy anything but mercedes and we blame an agent and i am a promoter of <BX> and i convinced many people near and far and my phone number watt 00962772945580 darling <BX> khadr al taamari and my dream ride in a <BX> fh16 750 hp i wish <BX>,nice,first,,oh just wait till you have a <M2> and bull gear come loose
9,,1 57 homina homina homina,will that fit in my honda,,you mean the right way lol,will malloy 2013,,wow,tego un problema d cobutible,,i want one,amazing trick,i have a d12 <BX> and it put up a co in my dash sid146 electrical fault another one saying fuel feedpump drive stage psid230 need help to know what do that mean done put fuel pump an accessory drive and new fuel filter an truck still wont start,i want to see <BX> in formula 1 in 2021,topp,what happens during startup when that massive gear reduction is reversed what happens in the setup during period of inadequate exhaust output say downhill what kind of stress doe it produce is there a way that the system can be disengaged,,,,heavy
