Comment ID,Video 0,Video 1,Video 2,Video 3,Video 4,Video 5,Video 6,Video 7,Video 8,Video 9,Video 10,Video 11,Video 12,Video 13,Video 14,Video 15,Video 16,Video 17,Video 18,Video 19
0,How much would that inframe cost for that same engine? Just wondering,"Okkkk,okkk.<br />You&#39;re amateur driver.","Hello guys ., am new on the cdl business., am about to buy a 2018 <BX> vnl 780 with 470k for 78k ., is this a good deal ?  if yes ., what’s need to be done or what to expect from this deal ., thanks .",Mff boz numpng tyaa...??<br />Kenapa gas mobil <BX> fmx 44o ku kok kalau di pakai nanjak kok gas ya sendat2 ya kyak mau masuk angin boz..<br />Mhn penjlhn ya bozz 🙏🙏🙏,See why it’s so expensive to do this job🤦🏿‍♂️🤦‍♂️🤦🏽‍♂️,How do you test run a diesel engine off the vehicle? How do you connect fuel to the supply inlet??,What a mess...,ارجوا الترجمه بالعربيه,Wherever,"According to <BX> , the <BX>s engine in the American market are different than the European. The European is more modern tho.","Question for you, I have a small fine thread bolt with a brass sealing ring, I don&#39;t know where the placement of it is, looks like a fuel passage block?",Will the vnl 860 pull  50000lbs?,,C&#39;est toujours un réel plaisir de voir un moteur <BX> en plein dépannage,"When choosing a place to have a big job done like this, do what he did and read the reviews and do your homework. So many places out there that do shoddy work and will refuse to stand behind their work","Mazda is bringing a rotary range extender to market in 2022 and will even sell them to Toyota.  The rotary is not dead, it&#39;s an excellent choice for a range extender.","Very good engine, used around the word.<br />Use to last more than 1.500.000 Km with brasiliam garbage diesel and roads.","Hola, buen día,muy buen canal y educativo,explica muy bien, yo soy de chile y me compré un <BX> vnl 670 2016 , pero acá llegan por importación directa a zona franca, por lo que le pido si me puede dar información de manuales y cualquier otra cosa importante por favor,muy amable",Thanks for helping me understand the harness better.,Before jumping to the nox you should have began with the egr issues and run a regen after fixing them. Nox will get bad reading if the egr system is not working properly.
1,There&#39;s noway in hell I would fix that truck I would just buy other one.  I woke up one mornings it was not there.,I have 2020 year <BX> and fuel filter is on passenger side .,I have a d16 sometimes when I go up or down a mountain my oil light comes on the oil is full and I&#39;ve replaced the sensor in the pan twice and the temp sensor and it still cuts off but cranks right up and go sometimes the def light comes on but goes right off I replaced the filter 6 months ago it was 2700 plus labor I don&#39;t know what else it could be,"Maaf bos kode error yg samean kirim kemaren masuk ke spam, jadi gak tau saya. <br />Kalo error itu kan untuk lampu jadi gak ngaruh ke power engine bang.",Injector cup tip broken and stuck on cylinder head. Any suggestions how to remove it?,You can run Engine off a bucket and just battery to start it and run the electronics,Aulas,Please <BX> common rail fuel system name?,👍,"So do you recommend a 2017 or 2018 <BX> <M2> with 420,000 mile",Where is the yaw sensor?,I want a knee busting heavy clutch manual gearbox truck from an era when environment was no issue,,the oil seperator will leak its design is flawd xD.,Is it tax write off drive it until the wheels fall off at this point . Buy one with less and quit otr. That what&#39;s killing these trucks. All dam miles up hills down hills pulling 80k letting the engine run 24 5. 34k is about right .,<BX>OOOOOO💗,"piece of garbage actually! expensive to fix, over complicated, junk. I have a VED12 in 07 670, and we have several trucks with the <M2> ... utter trash... after this truck, I&#39;ll never drive nor own another one of these bastards again!!!",Tengo un <BX> se regenera solo dura 20 minutos pero no limpia el filtro ni aparese regeneration en Progreso que podria ser parese como una falsa regeneration,"You could check the wiring first with the proper tools, but if you feel like your engine is idling uneven, probably is a bad injector. Thanks for the support and watching the channel.","@DieselBullet common mistake by many. When the egr system is not working properly the engine can put out a range of nox that will fool the sensor into thinking its bad not to mention issues with getting to temps cause by egr issues can trick the sensor into thinking its heating element has failed. If you want to save some money, always repair egr issues first and then see if nox issues are still present."
2,"Finally a video on these engines and the tech isn&#39;t an idiot. I&#39;m a master on both <BX> and Mack. Gotta say the macks are a hell of alot more reliable, I think in the last 5 years ive seen one with a broken valve. Since then I&#39;ve seen a shit load of <BX>s with broken valves. Its all down to the programming.","I have a question: Is there any difference between a car engine and an electric engine ? ( Is the engine suitable for the electric engine , to be connected to the electrical device that creates Generate  )? <br />I wait answer",Wtf which truck is best in his Eyes Name it who dont have so many problems,"Maksud saya kode erronya bos.<br />Kayak MID berpa gitu?<br />Terus gejala2 yang lain apa bos. <br />Kalo troble shooting kan biasanya yg dilihat kode errornya apa yg muncul. Trus gejala2 yg lainnya apa saja, seperti RPM tidak mau naik atau speedometernya gak main dll.<br /><br />Kalo kode errornya gak tau, saya juga bingung bos.",@Cardinal Truck Service thanks!,Grasias,No EGR,Love my 2013 <M2> with I shift,Если ещё стартер подключить в помощь)?,This problems are available also for <M2>k  from european version? Have a nice day,I have a <M2> engine Problem is oil mix with water and have already change oil cooler but problem continue can you help me,I have I shift 2015 <BX> a lot a problem...to fix cost a lot money.. manual transmission it&#39;s the best,,Love how old driver&#39;s talk shit about this motor. Then I come across them with my  2020 <BX> <M2> and walk down there garbage cat motors up a hill at 40k plus in the box. And to add to there embarrassment. Did it with ishift 12 speed with a 12.8 liter motor. The look on there faces in there peterbilt&#39;s and kenworth&#39;s is priceless. And what makes it worse is my engine isn&#39;t even broke in yet 😏🤫.,35 000 is not expensive it is all deductible  always save a percentage and you will never be broke and don&#39;t buy unnecessary things.,Will the connection keep the turbo &quot;spooled&quot; at idle or when the truck is coasting?,fadingbeleifs well can&#39;t be worse than a MaxxForce cause they set the bar in how bad an engine can be,Seria tan amable de decirme cual es el módulo de las luces 9535419301 este es mi número gracias,I have these 3 codes going on. Was told it could be bad harness or injector. Is there a simple way to trouble shoot the harness before deciding to replace the injector? Thanks!<br /><br />Fuel injection quantity lower than expected<br />Cylinder 4 fuel injector offset learning at max limit<br />Cylinder 4 misfire detected,"Was really a circuit code, not a performance code. EGR failure wouldn’t cause a circuit failure in NOX sensor. If was performance code, 100% agree."
3,@Bruce Evert Not that I know of no. But if you keep up on your overheads and have them done by someone that&#39;s really knows what they are doing they can catch this before it happens.,"my 2014 <M2> still running  with  960 k miles  no complaints its paying my bills,  good working truck",Does anyone know if there is a company or even a template I can buy to block the egr hot pipe with?,@Biggy Feri iya itu tadi bos kode yaa<br />Air clener n filter solar baru semuay bos...bgtu ttp gak ada perubahan boss..<br />Di pakai nanjak dikit yg bisa dibong gk tgggi gak mmapu bozz<br />Ni mknik psng 7x bozz apa yaa,Need a special tap and bolt. Not sure where you can get one,Tengo un camión 2011 con motor <BX> <M2> y tarda en ensender que le puedo revisar,Good,رهيب,Класс 5+,"<M2> <BX> engine year 2013 pulled the head and cyl 5 valve gone bad, we only pulled the head because two turbos gone bad in short period of time inspected the turbo found the veins damaged complaint was truck didn&#39;t pull good. 680K miles",Wish you guys were located in Chicagoland area,"Guys say: Dear Santa, I want this as a christmas gift... no other thing... pls remove that blonde girl I want earlier..",,If you decide to keep it past warranty just let everyone know how the repair bills are.,WOW. U could buy a new engine or another truck,Excelente video,"I find my <M2> to be gutless , maybe because its paired with the 12 speed I-shift ? It is a very quiet and smooth engine though .",Buenos dias señor he visto sus videos y son muy intructivos tengo varias preguntas de mi <BX> <M2> como puedo contactar .y muchas gracias por sus videos,"Can you help with j1587? Every time it rains code pop up, engine protection mode. Same with truck wash..",Great video. <br />How you do &quot;Exit Inducement&quot; to get rid of dash message 5PMH limit.
4,Can they be reprogrammed to prevent this?,Hajde nejedi govna,In the injector seal kit there&#39;s the thick purple one at the top and there&#39;s a thinner purple one use it on the bottom ring of the injector and that fixes your hard start problems a lot of <M2> things I&#39;ve noticed have a bleed down issue with their injectors and they get air in the system you can change the check valves you can change everything on there and still have a hard start a lot of them can be fixed by running a double seal I need injector itself not always but most of the time that&#39;ll fix your problem,"Kalo jalan rata aman ya bos , gak sendat2 ya gasnya.<br />Pastikan dulu ada kode error atau tidak bos, dan saat terjadi sendat2 itu apakah muncul informasi di monitor atau tidak.<br />Bisa jadi ada kebuntuan di intake sistem (air cleanner) atau filter solar yg kotor bisa juga.<br />Karna saat nanjak kan butuh tenaga yg lbh besar.",Any mechanic in the Texas area to do this on <M2> <BX> ???,revisale que tenga diesel,"Sooo this engine is ALWAYS regenerating? That was always my idea. Instead of big, periodic regens, have a continuation of fuel going through the 7th injector. I think that&#39;s better.","We are inherited from my father and my brother, and I have <BX> trucks, and now I own a <BX> FH D 13 520 hp model 2007, and I am a <BX> fan. Actros trucks refused because my country Jordan does not buy anything but Mercedes and we blame an agent, and I am a promoter of <BX>, and I convinced many people near and far and my phone number  Watts 00962772945580 darling <BX> Khadr Al-Taamari and my dream ride in a <BX> FH16.  750 HP I wish, <BX>",Fantastic,"Great insight guys! But i gotta tell you, you have scared me away from the <M2>. I&#39;m very interested in buying a 2015 or 16 <BX> w/ the i-shift but all of the common issues have me concern.",CAN YOU PLEASE MAKE A LIST FOR ALL THE PARTS WHEN THEY ARE BETTER TO BE REPLACED /AT WHAT MILLAGE BEFORE BRAKING DOWN  ON THE SIDE OF THE ROAD. It s very expensive and frustrating to have those problems in the middle of nowher.,Driving i shift from 2009 European and US trucks there is not better automatic transmission on the market,,"Well guess <BX> can kiss goodbye to truck sales in Australia with this eyesore! One day maybe, you’ll work out that all this technology and emissions shit makes for one hell of an unreliable truck, good luck <BX> 🥴","Just had my 5th cylinder go out on me in Albuquerque.  <BX> dealer estimates $30,000 and 2+ months of work. I towed it to a family owned specialist in Gallup. If anyone needs the info let me know. This situation makes a grown man cry.  I know.","<a href=""https://www.youtube.com/watch?v=9PbxmRA9vbs&amp;t=0m40s"">0:40</a><br /><a href=""https://www.youtube.com/watch?v=9PbxmRA9vbs&amp;t=0m14s"">0:14</a><br /><a href=""https://www.youtube.com/watch?v=9PbxmRA9vbs&amp;t=0m54s"">0:54</a>",Wish we had the old Series 60 back. The <M2> is smoother and quieter but the 12.7 got better fuel mileage and was simpler. A properly tuned 12.7 was hard to beat.,Muchas gracias por toda esta información... Dios te bendiga,Thank you for making this video,There is an option in tests i think its like scr aftertreatment systems or something close to that. There are 4 options and it will be the bottom of the 4 options.
5,Do you truckers think these <M2>s are better than a Cummins engine?,"Cummins  &lt;  Packard  &lt; DD15 &lt; <M2>. <BX> is best, and Cummins must die after 7yr experience!!","Hey Adam, have a <M2> VN, and during a forced regen  the exhaust temps reach anywhere from 950 to just over 1000 degrees, then it stops and temps come down to around 450 then goes back to regen. Also it seems there is a lot of fuel coming at the connection at the bellows. Have any idea? No codes are coming up. Thanks",@Biggy Feri yg di cek sensor speed dan pedal gas ya namun tetap sama ja bozz🙏🙏🙏,"Thanks for the video, did my first six pack w/ cuppers and the client was more than satisfied. Happy holidays !",Buenas tardes saludos,It&#39;s called passive regeneration.,Love,Price,Everything will have common issues. Educate yourself on whatever you are interested in so you are an informed buyer and operator.,How do I know when you are live,Tesla Semi is the Future!,,"No thanks, I will stick with my 16 Pre 1990 T600&#39;s with 3406B Cats.",I’ve got a broke down <BX> <M2> in alberquerque. Can you give me the info or number?,"<a href=""https://www.youtube.com/watch?v=9PbxmRA9vbs&amp;t=01m14s"">01:14</a><br /><a href=""https://www.youtube.com/watch?v=9PbxmRA9vbs&amp;t=0m55s"">0:55</a><br /><a href=""https://www.youtube.com/watch?v=9PbxmRA9vbs&amp;t=0m49s"">0:49</a>","+n2o4me What is the hp and torque setting you have and what tire size, rear end ratio and is the ishift the direct drive or overdrive?  Do you have the performance software or just basic?",Gracias hermano igualmente para ti,You are welcome. Thank you to support the channel.,Volume.
6,"yea more labor to do a head replacement the way you are doing it,",Let’s see in a long run who stays in the top. <BX> and Detroit engines for now keep the crown in the top 3 with Cummins at the third place. Thanks for share your opinion.,Basically junk....,"om mau tanya dong, kekencangan untuk baut silinder head <M2> berapa ya om ..",<BX> HiNO want sApp 0092 3452556685,,Yes sir!! We should work for the <BX> engineering department!!,I loved driving <BX> before I bought one! They put bad quality parts on this expensive truck that is breaking all the time. Also the air leaks are so annoying  I have to fix few air leaks a month. Sensors going out and half of time no check engine light. I bought my <BX> brand new in 2015. Now I have 800k miles on it. If I didn&#39;t learn how to fix many things by my self I would be out of business! Also in our company 4 trucks with <M2> engines did a overhaul before 600k miles.,❤❤❤❤❤,Scr eliminated the need for egr. No idea why we still use egr other than government corruption.,Hit that notification bell 🔔 - thanks for the comment,<BX> is seriously lacking videos on this engine and the new Exceed package,,"Это стопроцентно технология Камаза, наверное шведы спиздили.",Rebuilt motor doesn&#39;t add much value. Drive it till it dies and scrap it.,No SCANIA HAS SINCE 1989 on DS11.0 litler engine .,,MUCHÍSIMAS GRACIAS FRANCISCO POR TU COMENTARIO DIOS TE BENDIGA A TI Y TU FAMILIA CUÍDATE SALUDOS SUERTE EN TODO LO QUE HAGAS 👍👍👍👍,Where is your shop,Love doing those harnesses
7,@Nick Purcella I&#39;m not flat rate so I could care less how long it takes I still get paid the same.,I got 1200000 miles on my <M2> <BX> Automated and still running strong. Do your oil changes on time and they will run forever.,"Hey man!! Wish you were in Cali . I can’t find a good shop and don’t want to go to stealer. I’d rather invest in a small shop to help me .<br /><br />Anyways man,<br />2015 Vnl 780 <M2>  ishift with 599,952 lol <br /><br /><br />#1 I have a tick that started and I can’t find it ! I think it may be a lifter . Can you give me any other suspect you have encountered.<br /><br />#2<br />Got a check engine for crank case pressure , the red stop triangle came up several times and I just had to shut off the truck and it would start right back up fine . after watching your video I change the sensor and it didn’t fix it . The oil separator filter isn’t leaking and I can hear it spin. I have to have the sensor disconnected otherwise I can’t drive the truck . This may have triggered an 02 sensor that I have now . <br /><br />I can’t clear codes with the dash diagnostics but I can with my lil obdII SCSNNER BUT the codes come back after I restart the truck . <br /><br /><br />I need help. Please.","em gitu, terima kasih om 🙏",I had injectors put in and my jake quit working. Any relationship?,,"Jake Knelsen I TOTALLY agree! If it is given a computer doser rate based on egr temp, soot level and atmospheric pressure then no need for derates or parked regens! Keep it dosing and allow for an operator select rolling regen so hit a button on fly while you&#39;re on a 40 mile 1100 rpm stretch and clean the dpf! Also do a trickle charge heater built in to the tank&#39;s structure (like heated floors) for def tank to prevent crystalization!",Your company might need to revise the type of oil they are using.,👍👍👍👍👍,Any input about the mack mp7 and mp8 engines?,Bro I’m in Dallas to 👍❤️🇺🇸,Shut up bitch !!!,,,EBay 12k,Not a new idea at all. Google &quot;Napier Nomad&quot;,,Por k medio te podemos contactar?,"I do not have a shop yet, I will let know my subscribers in here if I would open one in the future.",Thank you bro I bought 2 <BX> vnl glad I see ur videos bro
8,@polarisboy67 i guess its more money out of the customers pockets an into yours.,@Let’s talk DIESEL. It&#39;s good that you tell us that the oil filters are all the same on this engine. <br />It was a pain having to get a bypass filter and two ordinary filters. Now they are all the same it is less confusing . <br />Thanks!👍,I have a 2006 D16 <br />My engine break is not working. I tried the clutch lift to see if that was the issue but it ain&#39;t. I watched a video about oil sensor temp that could cause the issue. Could you please give me a tip as to what the problem may be? Thank you,Urutannya seperti ini bos.<br /><br />step 1..... 100 ± 5 Nm<br />step 2 (angle tightening)..... 120±5°<br />step 3 (angle tightening)..... 90±5°,@Cardinal Truck Service They still have it and they ordered a solenoid I don&#39;t know who they are planning on paying for it. They took valve cover back off and said everything looked good with new orings put on. Just sucks bill is going to be big anyway,,<BX> Is this engine close to euro 3-4-5-6 certifications??,"changed all 6 injections fuel economy did not go back up stuck at 6.0mpg. I use to have 7.3mpg not anymore. also my boss that I work with he has 14 <BX> <M2> trucks. after around 400k miles fuel economy drops down no check engine lights, power seems the same, Trucks idle great, turbo boost is good. many driver told me to change injections and <BX> dealer said something so I did and guess what nothing happened! I like <BX> but when I had any problems with them its hard to find the real problem. you will end up spending 10k+ and mind not find the problem in the end. this happened personally to me 2 times! spent lots of money on DEF then just decided to delete it. then now I got this fuel problem that dropped to 6.0 and I spent so much money on it with zero results!",I love that they got rid of the VGT it should be more reliable,Same engine. I’ve heard Mack tuning is more efficient less problems.,very useful information.,if you have to remember what gear your in your not a trucker your a steering wheel holder. you should be able to not even look for the shifter and once you put your hand on it you should know what gear your in if you don&#39;t then I would say steering wheel holder. yes I have driven on older <BX> 2011 -2012 with I shift and it did not fuck around and stayed in the correct gear even while using jakes. It is a good transmission but in my book if you can&#39;t shift a manual transmission you are a steering wheel holder. one last thing the reason for mega carriers for getting automatic transmissions and not manual especially the companies that train are not for cost / maintenance its to screw the new driver over and make it very hard to leave because they will have an automatic only licence.,,,How many years warranty you got?,"We are inherited from my father and my brother, and I have <BX> trucks, and now I own a <BX> FH D 13 520 hp model 2007, and I am a <BX> fan. Actros trucks refused because my country Jordan does not buy anything but Mercedes and we blame an agent, and I am a promoter of <BX>, and I convinced many people near and far and my phone number  Watts 00962772945580 darling <BX> Khadr Al-Taamari and my dream ride in a <BX> FH16.  750 HP I wish, <BX>",,Hola tengo una duda en camion <BX> <M2> me aparece em la pantallita la leyenda controlar motor falla que significa por favor,Sir mid 128 pid 85 fmi 9 how fault explain sir help me my <BX> truck 2005 model not start it our codes  my WhatsApp no.7707878753,"I have a usb link 2, which adapter does a 2015 <BX> require to diagnose?"
9,You mean the right way? lol,@Will Malloy 2013,I have a D12  <BX> and it put up a  cos in my dash  SID146 electrical fault another one saying fuel feedpump drive stage PSID230  need help to know what do that mean done put fuel pump an accessory Drive and new fuel filters an truck still wont start,الله يسلمك ويحفظك يامبدع على هاي لمعلومات وشكراً جزيلاً لك على<br />الجهود,"Yes, take it back to the shop",,Might as well go back to gas powered trucks,tego un problema d cobutible,"I wish they painted them those colors, very pretty compared to baby poop green 😂👌",I have a  2014 <BX> <M2> xe package truck at 920k miles with injector cups that have never been changed. No injector issues either. The key to it is to not run your truck all night. I use a webasto heater in the winter and and rv ac unit with a generator for ac during the summer months. Most people wake up and regen every morning that heat from burning the gasses and having everything that hot screws the life on everything. I regen maybe once every 5 months if that. That is your key don’t have the truck on.,Great video! Keep it up!,I want one. 👍,,,"good job brother you dont worries for another 400k miles my <BX> 2014 its about 950k miles still running im driving it till die, thanks","What happens during startup, when that massive gear reduction is reversed? What happens in the setup during periods of inadequate exhaust output- say downhill? What kind of stresses does it produce? Is there a way that the system can be disengaged?",,Que tal chuy. Oye puedes hacer tutorial de ABS  y cts.  Salu2 desde chicago,Good information.what is your recommendation to change at how many miles?,9 pin green plug
